,year,total,tradewar?
0,2015.0,1790.0,0.0
1,2016.0,1781.0,0.0
2,2017.0,1832.0,0.0
3,2018.0,1879.0,1.0
4,2019.0,2187.0,1.0
5,2020.0,2548.0,1.0
6,2021.0,1147.0,1.0
