,year,total,tradewar?
0,0.0,136.0,0.0
1,0.0,150.0,0.0
2,0.0,182.0,0.0
3,0.0,218.0,1.0
4,0.0,251.0,1.0
5,0.0,306.0,1.0
6,0.0,135.0,1.0
